"ID","prNumber","description","department","currentApprover","status","createdAt"
"c915187c-bb83-46af-b5a2-c5bd64ad2720","PR-1001","Laptops for new hires","Information Technology","Karan","pending","2026-06-27T16:51:53Z"
"3f635e4c-bf49-4605-ba44-7b641b63cea3","PR-1002","Office chairs","Administration","Pooja","approved","2026-06-09T10:34:55Z"
"a22ff022-160c-4223-9710-2fa882ec9ec8","PR-1003","Software licenses","Procurement","Isha","pending","2026-07-11T17:33:07Z"
"1c92e57f-0571-4b2d-84fa-d503dccdff24","PR-1004","Printer cartridges","Operations","Nikhil","pending","2026-06-27T23:29:13Z"
"ac4cde50-74d3-427c-b1e0-640f32ae5dcb","PR-1005","Conference room AV setup","Human Resources","Simran","pending","2026-06-26T16:22:41Z"
"68ce9cea-123d-4a9e-bde9-d0092204903f","PR-1006","Server maintenance contract","Finance","Neha","approved","2026-07-06T02:40:14Z"
"7348b768-ecb0-4cfd-8ee3-f8891ff1a327","PR-1007","Network switches upgrade","Sales","Simran","pending","2026-06-10T19:21:01Z"
"b9f85273-49be-4d04-b2ce-7b732bd7ccdf","PR-1008","Employee training program","Warehouse","Amit","approved","2026-06-07T22:22:47Z"
"b0751570-0ac9-45b5-86d9-353e748ad87f","PR-1009","Marketing collateral printing","Information Technology","Nikhil","pending","2026-07-02T11:38:00Z"
"82270d91-1b45-4058-b108-155760bf86a8","PR-1010","Warehouse forklift rental","Administration","Amit","approved","2026-07-01T13:15:09Z"
"008def3e-0129-4388-b3cb-9c18561fc0df","PR-1011","Cloud storage subscription","Procurement","Rohan","pending","2026-06-26T12:13:56Z"
"c86be56f-6d6f-4c6c-9806-28c09d7406c9","PR-1012","Office stationery bulk order","Operations","Sanjay","pending","2026-06-05T13:47:20Z"
"d864303c-7e59-4868-9db1-ea889a1fc679","PR-1013","Security camera installation","Human Resources","Rahul","pending","2026-07-16T10:38:07Z"
"3f1838a4-e184-4996-9148-1e7d54265f3a","PR-1014","HVAC system servicing","Finance","Pooja","approved","2026-06-26T21:44:51Z"
"0a0353f7-fa06-4e4c-9db0-fa395cf2aae6","PR-1015","Company vehicle maintenance","Sales","Varun","approved","2026-07-19T14:27:00Z"
"68c0cadf-7f71-4976-9ee0-3ed270d23ffc","PR-1016","Ergonomic keyboards and mice","Warehouse","Sanjay","approved","2026-06-15T20:08:28Z"
"484a312e-6ba0-4072-a6cb-c2bd6d8661ab","PR-1017","Data backup solution","Information Technology","Divya","pending","2026-06-02T21:23:02Z"
"ba667471-3121-4ba8-a503-6f40db650cb7","PR-1018","Video conferencing equipment","Administration","Aditya","approved","2026-06-24T05:57:51Z"
"ea1c818c-3a55-4a41-89fc-353417672871","PR-1019","Employee laptop bags","Procurement","Aditya","pending","2026-06-13T05:02:35Z"
"98eebd7e-f8d2-4957-b69a-a150ecfb7f6e","PR-1020","Firewall license renewal","Operations","Sarah","pending","2026-07-12T01:58:58Z"
"8a0432af-2d57-4aa4-86ec-afdd7938e2e7","PR-1021","Standing desks for R&D team","Human Resources","Nikhil","pending","2026-07-01T06:21:05Z"
"eaa816bc-73c7-480f-ac4a-e3f4ec42e4ac","PR-1022","Cafeteria equipment upgrade","Finance","Priya","pending","2026-07-03T19:47:47Z"
"6bacd383-c892-44bd-827d-2193e6a41f77","PR-1023","Mobile phones for sales team","Sales","Karan","pending","2026-06-07T13:03:14Z"
"4f91a29d-6143-4af6-8d6c-04fe4644fab4","PR-1024","Whiteboard and markers for offices","Warehouse","Amit","pending","2026-07-16T21:24:11Z"
"7a579e33-1920-467a-8f00-dc44fcdbb789","PR-1025","External hard drives","Information Technology","Amit","pending","2026-07-12T20:25:19Z"
"6594c9a9-54e8-4f82-9127-a4722a5d64d5","PR-1026","Wi-Fi router replacement","Administration","Karan","pending","2026-07-10T02:10:32Z"
"9dec4efd-4918-4304-ba9f-d02ae9ca90c4","PR-1027","Projector for training room","Procurement","John","pending","2026-06-28T01:03:26Z"
"4d1be067-317c-4780-9169-fe745b7abdd6","PR-1028","Office plants and decor","Operations","Arjun","approved","2026-06-10T12:08:37Z"
"f11c4e8e-e862-432f-8a08-c795549a90ef","PR-1029","Recruitment agency services","Human Resources","Daksh","approved","2026-06-23T22:48:14Z"
"4dc469b3-44b0-4181-800e-c5864f5da93e","PR-1030","Employee wellness program","Finance","Sarah","pending","2026-07-08T21:44:55Z"
"c2b1da0f-b61b-436c-bc2d-dac006c65ce8","PR-1031","Parking lot resurfacing","Sales","Neha","pending","2026-07-18T06:01:35Z"
"3ec8f6e0-ec64-41f8-ba19-44c1ec0b9081","PR-1032","Reception desk furniture","Warehouse","Krishnav","approved","2026-06-06T13:12:17Z"
"0f3114f3-79c7-45eb-a8d0-fa0ca8efc19d","PR-1033","Fire safety equipment check","Information Technology","Sanjay","pending","2026-06-19T01:00:12Z"
"47976328-feac-4787-878e-9f8efe6648d4","PR-1034","Company merchandise order","Administration","Priya","pending","2026-06-24T21:43:24Z"
"35ba073a-c0e1-4de6-8279-8fcfb78c3443","PR-1035","Team offsite venue booking","Procurement","Anjali","pending","2026-07-01T12:06:05Z"
"b7e61ba5-d3ee-4506-ab1e-3ad329cf06b2","PR-1036","Air purifiers for office","Operations","Anjali","approved","2026-06-08T01:02:15Z"
"4c207fe9-f2ef-4e7e-b5c8-6db8a0b81c0d","PR-1037","Backup generator servicing","Human Resources","Ms Priyanka","pending","2026-06-21T16:41:07Z"
"5a75b5ed-789d-46e5-a240-247453654764","PR-1038","CRM software subscription","Finance","Neha","pending","2026-06-30T08:54:57Z"
"18da8919-6af5-42d5-9f11-04ad59957c4b","PR-1039","Payroll software license","Sales","Rohan","pending","2026-06-11T09:24:42Z"
"71bc6789-8d45-44a2-8d0c-8b2d6430289b","PR-1040","Employee ID card printer","Warehouse","Karan","approved","2026-07-20T01:41:18Z"
